lesson,order_in_lesson,kanji,keyword,slug,v1_concept_summary,v2Concept,subjectType,humanPresence,narrativeStrength,emotionalTone,colorWeight,atmosphere,galleryPriority
20,2,賊,burglar,burglar,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «burglar»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 賊 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
20,3,栽,plantation,plantation,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «plantation»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 栽 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
20,4,載,load,load,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «load»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 載 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
20,5,茂,overgrown,overgrown,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «overgrown»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 茂 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
20,6,戚,relatives,relatives,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «relatives»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 戚 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
20,7,成,become,become,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «become»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 成 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
20,8,城,castle,castle,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Architectural passage — corridor, gate, or alley — figure crossing threshold; weathered stone, earth umber and parchment cream.",architecture,secondary,implied,institutional calm,moderate,"stone grey, lantern amber",supporting
20,9,誠,sincerity,sincerity,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «sincerity»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 誠 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
20,10,威,intimidate,intimidate,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «intimidate»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 威 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",feature
20,11,滅,destroy,destroy,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «destroy»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 滅 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
20,12,減,dwindle,dwindle,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «dwindle»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 減 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
20,13,蔑,disdain,disdain,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «disdain»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 蔑 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
20,14,桟,scaffold,scaffold,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «scaffold»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 桟 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
20,15,銭,coin,coin,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Still life on cloth: metal or stone object catching slit light — patina, scratch, weight; museum case without the case.",still_life,secondary,static,material reverence,moderate,"specular highlight, dark ground",supporting
20,16,浅,shallow,shallow,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «shallow»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 浅 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
20,17,止,stop,stop,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «stop»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 止 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
20,18,歩,walk,walk,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Mid-action freeze: a figure walking through weather — coat or cloth caught by wind; diagonal energy, cinematic still.",human,primary,active,kinetic resolve,moderate,motion blur on rain,feature
20,19,渉,ford,ford,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"River or shore at blue hour, current carrying reflected sky — a figure optional at the margin; earth umber and parchment cream; water as moving light.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",feature
20,20,頻,repeatedly,repeatedly,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «repeatedly»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 頻 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
21,1,肯,agreement,agreement,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «agreement»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 肯 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
21,2,企,undertake,undertake,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «undertake»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 企 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
21,3,歴,curriculum,curriculum,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «curriculum»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 歴 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
21,4,武,warrior,warrior,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «warrior»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 武 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
21,5,賦,levy,levy,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «levy»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 賦 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,6,正,correct,correct,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «correct»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 正 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,7,証,evidence,evidence,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «evidence»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 証 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,8,政,politics,politics,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «politics»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 政 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,9,定,determine,determine,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «determine»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 定 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,10,錠,lock,lock,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «lock»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 錠 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
21,11,走,run,run,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Footprints in wet sand leading toward horizon — journey implied, figure small but decisive.",human,primary,active,kinetic resolve,moderate,motion blur on rain,supporting
21,12,超,transcend,transcend,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «transcend»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 超 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,13,赴,proceed,proceed,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «proceed»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 赴 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,14,越,surpass,surpass,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «surpass»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 越 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,15,是,just_so,just_so,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «just_so»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 是 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,16,題,topic,topic,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «topic»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 題 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,17,堤,dike,dike,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «dike»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 堤 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,18,建,build,build,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «build»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 建 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
21,19,鍵,key,key,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «key»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 鍵 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",feature
21,20,延,prolong,prolong,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «prolong»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 延 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
22,1,誕,nativity,nativity,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «nativity»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 誕 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
22,2,礎,cornerstone,cornerstone,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «cornerstone»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 礎 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
22,3,婿,bridegroom,bridegroom,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «bridegroom»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 婿 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
22,4,衣,garment,garment,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «garment»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 衣 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,5,裁,judge,judge,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «judge»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 裁 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,6,装,attire,attire,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «attire»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 装 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,7,裏,reverse_side,reverse_side,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «reverse_side»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 裏 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,8,壊,demolition,demolition,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «demolition»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 壊 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,9,哀,pathetic,pathetic,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «pathetic»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 哀 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
22,10,遠,far,far,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «far»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 遠 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
22,11,猿,monkey,monkey,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Portrait of a monkey in shallow depth of field, background dissolved into indigo shadow — a gallery animal study, not an emblem.",animal,none,active,"grounded, tactile, living world",moderate,"living air, tactile detail",supporting
22,12,初,first_time,first_time,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «first_time»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 初 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,13,巾,towel,towel,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «towel»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 巾 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,14,布,linen,linen,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «linen»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 布 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,15,帆,sail,sail,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «sail»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 帆 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,16,幅,breadth,breadth,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Desk at night: paper, ink, one lamp — reader leaning close; scholarly intimacy, not instruction.",still_life,secondary,implied,scholarly calm,restrained,"lamp pool, parchment cream",supporting
22,17,帽,cap,cap,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «cap»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 帽 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,18,幕,curtain,curtain,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «curtain»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 幕 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
22,19,幌,canopy,canopy,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «canopy»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 幌 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",feature
22,20,錦,brocade,brocade,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «brocade»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 錦 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
23,1,市,market,market,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «market»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 市 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
23,2,柿,persimmon,persimmon,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «persimmon»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 柿 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
23,3,姉,older_sister,older_sister,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «older_sister»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 姉 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",transition
23,4,肺,lungs,lungs,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «lungs»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 肺 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,5,帯,sash,sash,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «sash»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 帯 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,6,滞,stagnate,stagnate,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «stagnate»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 滞 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,7,刺,thorn,thorn,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «thorn»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 刺 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,8,制,control,control,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «control»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 制 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,9,製,made_in,made_in,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «made_in»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 製 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,10,転,revolve,revolve,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «revolve»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 転 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",feature
23,11,芸,art,art,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «art»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 芸 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,12,雨,rain,rain,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Rain on stone basin overflowing — weather as protagonist; silver streaks, deep green moss, one wooden ladle.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",supporting
23,13,雲,cloud,cloud,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «cloud»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 雲 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,14,曇,cloudy_weather,cloudy_weather,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «cloudy_weather»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 曇 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,15,雷,thunder,thunder,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «thunder»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 雷 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
23,16,霜,frost,frost,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «frost»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 霜 only if carved, cast, or woven into the scene.",human,secondary,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,17,冬,winter,winter,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «winter»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 冬 only if carved, cast, or woven into the scene.",mixed,implied,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",supporting
23,18,天,heaven,heaven,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «heaven»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 天 only if carved, cast, or woven into the scene.",still_life,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
23,19,妖,bewitched,bewitched,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «bewitched»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 妖 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",feature
23,20,沃,fertile,fertile,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «fertile»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 沃 only if carved, cast, or woven into the scene.",landscape,none,implied,"grounded, tactile, living world",moderate,"grounded, tactile, living world; exhibition depth",hero
24,1,橋,bridge,bridge,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Architectural passage — corridor, gate, or alley — figure crossing threshold; weathered stone, smoky violet and oxidized copper.",architecture,secondary,implied,institutional calm,moderate,"stone grey, lantern amber",transition
