kanji,slug,prompt
給,salary,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
絡,entwine,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
結,tie,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
終,end,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
級,class,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
紀,chronicle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
紅,crimson,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
納,settlement,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
紡,spinning,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
紛,distract,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
紹,introduce,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
経,manage,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
紳,sire,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
約,promise,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
細,thin,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
累,pile_up,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
索,cord,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
総,total,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
綿,cotton,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
絹,silk,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
繰,winding,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
継,inherit,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
緑,green,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
縁,affinity,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
網,netting,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
緊,tense,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
紫,purple,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
縛,truss,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
縄,straw_rope,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
幼,infancy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
後,behind,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
幽,dim,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
幾,how_many,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
機,machine,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
畿,capital_area,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
玄,mysterious,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
畜,livestock,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
蓄,amass,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
弦,bowstring,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
擁,hug,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
滋,nourishing,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
慈,mercy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
磁,magnet,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
系,lineage,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
係,person_in_charge,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
孫,grandchild,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
懸,suspend,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
遜,modest,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
却,instead,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
脚,shins,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
卸,wholesale,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
御,honorable,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
服,clothing,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
命,fate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
令,orders,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
零,zero,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
齢,age,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
冷,cool,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
領,territory,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鈴,small_bell,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
勇,courage,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
湧,gush,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
通,pass_through,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
踊,jump,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
疑,doubt,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
擬,mimic,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
凝,congeal,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
範,pattern,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
犯,crime,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
氾,to_overflow,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
厄,unlucky,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
危,dangerous,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
宛,addressed_to,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
腕,arm,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
苑,park,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
怨,grudge,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
柳,willow,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
卵,egg,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
留,detain,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
瑠,marine_blue,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
貿,trade,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
印,stamp,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
臼,mortar,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
毀,break,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
興,entertain,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酉,sake_flask,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酒,sake,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酌,bartending,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酎,alcohol,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酵,fermentation,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酷,cruel,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酬,repay,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酪,dairy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酢,vinegar,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酔,drunk,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
配,distribute,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
酸,acid,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
猶,still,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
尊,revered,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
豆,beans,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
頭,head,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
短,short,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
豊,bountiful,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鼓,drum,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
喜,rejoice,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
樹,timber,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
皿,dish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
血,blood,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
盆,basin,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
盟,alliance,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
盗,steal,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
温,warm,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
蓋,lid,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
監,oversee,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
濫,excessive,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鑑,specimen,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
藍,indigo,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
猛,fierce,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
盛,boom,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
塩,salt,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
銀,silver,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
恨,resentment,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
根,root,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
即,instant,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
爵,baron,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
節,node,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
退,retreat,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
限,limit,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
眼,eyeball,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
良,good,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
朗,melodious,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
浪,wandering,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
娘,daughter,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
食,eat,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
飯,meal,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
飲,drink,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
飢,hungry,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
餓,starve,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
飾,decorate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
餌,feed,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
館,public_building,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
餅,mochi,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
養,foster,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
飽,sated,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
既,previously,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
概,outline,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
慨,rue,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
平,flat,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
呼,call,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
坪,two_mats,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
評,evaluate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
刈,reap,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
刹,buddhist_temple,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
希,hope,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
凶,villain,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
胸,bosom,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
離,detach,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
璃,glassy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
殺,kill,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
爽,bracing,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
純,genuine,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
頓,immediate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鈍,dull,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
辛,spicy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
辞,resign,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
梓,catalpa_tree,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
宰,superintend,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
壁,wall,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
璧,gem,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
避,evade,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
新,new,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
薪,firewood,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
親,parent,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
幸,happiness,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
執,tenacious,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
摯,clasp,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
報,report,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
叫,shout,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
糾,twist,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
収,income,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
卑,lowly,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
碑,tombstone,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
陸,land,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
睦,intimate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
勢,forces,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
熱,heat,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
菱,diamond,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
陵,mausoleum,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
亥,boar,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
核,nucleus,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
刻,engrave,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
該,above_stated,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
骸,remains,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
劾,censure,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
述,mention,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
術,technique,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
寒,cold,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
塞,obstruct,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
醸,brew,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
譲,defer,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
壌,lot,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
嬢,lass,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
毒,poison,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
素,elementary,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
麦,wheat,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
青,blue,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
精,refined,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
請,solicit,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
情,feelings,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
晴,clear_up,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
清,pure,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
静,quiet,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
責,blame,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
績,exploits,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
積,accumulate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
債,bond,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
漬,pickling,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
表,surface,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
俵,bag,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
潔,undefiled,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
契,pledge,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
喫,consume,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
害,harm,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
轄,jurisdiction,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
割,proportion,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
憲,constitution,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
生,life,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
星,star,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
醒,awakening,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
姓,surname,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
性,gender,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
牲,animal_sacrifice,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
産,produce,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
隆,hump,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
峰,summit,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
蜂,bee,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
縫,sew,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拝,worship,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
寿,longevity,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鋳,casting,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
籍,enroll,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
春,springtime,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
椿,camellia_tree,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
泰,peaceful,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
奏,play_music,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
実,reality,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
奉,dedicate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
俸,stipend,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
棒,rod,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
謹,discreet,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
僅,trifle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
勤,diligence,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
漢,china,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
嘆,sigh,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
難,difficult,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
華,splendor,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
垂,droop,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
唾,saliva,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
睡,drowsy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
錘,spindle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
乗,ride,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
剰,surplus,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
今,now,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
含,include,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
貪,covet,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
吟,versify,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
念,wish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
捻,wrench,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
琴,harp,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
陰,shade,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
予,in_advance,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
序,preface,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
預,deposit,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
野,plains,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
兼,concurrently,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
嫌,dislike,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鎌,sickle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
謙,self_effacing,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
廉,bargain,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
西,west,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
価,cost,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
要,need,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
腰,loins,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
票,ballot,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
漂,drift,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
標,signpost,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
栗,chestnut,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
慄,shudder,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
遷,transition,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
覆,capsize,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
煙,smoke,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
南,south,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
楠,camphor_tree,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
献,offering,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
門,gates,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
